Background	Genotype1	Genotype2	Sex	Replicate	Individual	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15
Sam	10514	Sam	M	rep2	6	0.36553	1.25442	0.35426	1.13043	0.2657	1.0789	0.37842	0.92431	0.43961	0.96296	0.53945	1.08373	0.67471	1.22866	0.78421	0.99677	0.76006	0.93236	1.07729	0.76328	0.99355	0.62318	1.85507	1.095	2.14653	0.70531	2.02254	0.4847	1.19323	0.314
Sam	10514	Sam	M	rep2	7	0.31884	1.24315	0.31078	1.11916	0.23027	1.05313	0.34943	0.89854	0.40418	0.94524	0.50402	1.08051	0.62479	1.23993	0.75845	1.00482	0.73268	0.93719	1.07085	0.78421	1.00321	0.62479	1.82769	1.17552	2.1417	0.78582	2.0322	0.56682	1.22544	0.33172
Sam	10514	Sam	M	rep2	8	0.32528	1.24798	0.31239	1.12882	0.22222	1.05796	0.35104	0.90338	0.40257	0.94524	0.50563	1.08051	0.62801	1.23671	0.75684	0.99838	0.73429	0.93397	1.06441	0.77133	0.99999	0.61835	1.8132	1.14009	2.12882	0.76972	2.02093	0.53462	1.19806	0.32367
Sam	10514	Sam	M	rep2	9	0.29951	1.20611	0.28663	1.08534	0.20772	1.01127	0.33655	0.87278	0.38647	0.91143	0.48309	1.04508	0.5942	1.19645	0.73268	0.97745	0.71819	0.90821	1.04508	0.76328	0.98067	0.61835	1.76972	1.16102	2.12238	0.77938	2.00321	0.54428	1.18679	0.33172
Sam	10514	Sam	M	rep2	10	0.32206	1.24798	0.31561	1.1256	0.22866	1.05313	0.35104	0.89854	0.39935	0.94202	0.49114	1.08212	0.63284	1.23832	0.76006	1.00482	0.73912	0.93558	1.08856	0.7826	1.00482	0.62318	1.84057	1.17069	2.16102	0.79871	2.04508	0.55716	1.219	0.33172
Sam	10514	Sam	M	rep2	12	0.33333	1.26247	0.314	1.1417	0.23027	1.07407	0.34943	0.91465	0.40901	0.95491	0.50724	1.09017	0.6409	1.24637	0.77294	1.00321	0.74396	0.93558	1.0789	0.76489	1.0016	0.61191	1.85023	1.13043	2.15941	0.73912	2.03703	0.50724	1.20128	0.31239
Sam	10514	Sam	M	rep2	13	0.32689	1.23027	0.31239	1.1111	0.23349	1.04025	0.35426	0.8921	0.40579	0.93075	0.50724	1.06602	0.62962	1.22061	0.76328	0.98872	0.73751	0.92109	1.06602	0.77455	0.99033	0.62479	1.80837	1.14814	2.13043	0.78582	2.00321	0.54267	1.20128	0.34138
Sam	10514	Sam	M	rep2	14	0.31561	1.25603	0.2979	1.13365	0.21417	1.06602	0.33655	0.9066	0.39452	0.95007	0.48148	1.08695	0.61191	1.24154	0.74879	1.00966	0.72624	0.93719	1.05796	0.77777	0.9694	0.62962	1.80031	1.15619	2.13848	0.76489	2.00965	0.52978	1.17874	0.32206
Sam	10514	Sam	M	rep2	15	0.34782	1.28341	0.32689	1.16102	0.24154	1.09339	0.34621	0.93075	0.4074	0.97262	0.50885	1.10466	0.64895	1.24959	0.76972	1.01288	0.74396	0.94685	1.08051	0.77133	0.99194	0.62801	1.83091	1.11594	2.1417	0.73429	2.00643	0.49436	1.18035	0.32367
Sam	10514	Sam	M	rep2	16	0.37359	1.26569	0.34299	1.15458	0.26731	1.08856	0.37036	0.93236	0.42834	0.97101	0.54106	1.095	0.66183	1.23027	0.78743	1.00482	0.75845	0.94363	1.09661	0.77455	1.00643	0.63284	1.83091	1.11916	2.13365	0.73751	2.00965	0.51207	1.18518	0.3446
Sam	10514	Sam	M	rep2	17	0.33977	1.24315	0.32367	1.12238	0.24315	1.0483	0.35909	0.89693	0.41062	0.94041	0.51529	1.07246	0.63929	1.22866	0.76972	0.99355	0.74396	0.9227	1.05474	0.7665	0.99838	0.61674	1.82125	1.12721	2.12399	0.74396	2.00643	0.50885	1.21094	0.31722
Sam	10514	Sam	M	rep2	18	0.31561	1.23671	0.30112	1.12238	0.21578	1.05313	0.33816	0.90015	0.38969	0.94524	0.4847	1.08051	0.61513	1.23832	0.73268	1.01288	0.71175	0.94524	1.06119	0.79226	0.99677	0.63607	1.8132	1.17552	2.13365	0.80676	2.01449	0.57165	1.20933	0.35104
Sam	10514	Sam	M	rep2	19	0.34943	1.2512	0.33172	1.13043	0.24637	1.05957	0.37036	0.90177	0.42673	0.94363	0.51851	1.08373	0.65539	1.23832	0.79065	0.99999	0.76167	0.93075	1.08051	0.77133	0.99999	0.62801	1.84862	1.12882	2.1417	0.75523	2.02093	0.52012	1.2045	0.32689
Sam	10514	Sam	M	rep2	20	0.29951	1.28019	0.2818	1.16102	0.20611	1.08695	0.31722	0.93236	0.37036	0.97262	0.47503	1.10949	0.60386	1.26247	0.73107	1.02898	0.70531	0.96296	1.03542	0.79871	0.97262	0.63929	1.79709	1.16424	2.11432	0.78421	2.0016	0.55555	1.18196	0.35104
Sam	10514	Sam	M	rep2	21	0.34621	1.22866	0.32689	1.1111	0.24959	1.04186	0.36875	0.89693	0.41706	0.93558	0.52012	1.0628	0.63768	1.21416	0.74396	0.98711	0.72141	0.92431	1.07246	0.76006	0.99516	0.61513	1.80837	1.12399	2.11271	0.7504	1.99355	0.52978	1.20289	0.32045
Sam	10514	Sam	M	rep2	22	0.30273	1.2673	0.28341	1.14975	0.20128	1.07246	0.32689	0.91787	0.38003	0.96135	0.48309	1.09661	0.60225	1.2512	0.73912	1.01932	0.71175	0.95007	1.05474	0.78743	0.97584	0.62801	1.83252	1.14975	2.14331	0.76328	2.01932	0.53301	1.17713	0.33494
Sam	10514	Sam	M	rep2	23	0.33655	1.25442	0.31561	1.13365	0.23832	1.06924	0.34943	0.91304	0.40418	0.95007	0.50241	1.08695	0.63607	1.23349	0.75845	1.00482	0.7359	0.93558	1.07246	0.77294	0.99677	0.61996	1.84057	1.12721	2.14653	0.74879	2.02254	0.52012	1.21577	0.32689
Samw	Sam	Sam	M	rep1	1	0.32148	1.22132	0.30371	1.10177	0.22778	1.03069	0.33764	0.87399	0.38772	0.92245	0.50242	1.05331	0.62681	1.20678	0.76252	0.97253	0.73182	0.9063	1.06623	0.74959	0.9903	0.60096	1.79644	1.105	2.11954	0.69789	2.02584	0.51534	1.18416	0.30371
Samw	Sam	Sam	M	rep1	2	0.36187	1.18416	0.34087	1.07108	0.26978	1.00807	0.37318	0.86429	0.41841	0.9063	0.52342	1.02261	0.63812	1.16155	0.75444	0.94668	0.72859	0.89499	1.04523	0.74474	0.97899	0.60258	1.7399	1.06623	2.03554	0.68336	1.94668	0.5218	1.16801	0.3231
Samw	Sam	Sam	M	rep1	3	0.39741	1.19547	0.37479	1.09369	0.30048	1.04361	0.39741	0.89822	0.44264	0.93537	0.55411	1.03392	0.6672	1.15831	0.75928	0.95476	0.74151	0.90791	1.03069	0.75282	0.97092	0.6252	1.69951	1.05815	1.98546	0.71082	1.88691	0.52827	1.14701	0.35056
Samw	Sam	Sam	M	rep1	4	0.41357	1.18255	0.41033	1.07269	0.32471	1.03231	0.42003	0.90145	0.46042	0.93861	0.55735	1.03877	0.6672	1.15508	0.76252	0.96445	0.74474	0.9176	1.03069	0.77382	0.97415	0.65751	1.68174	1.05169	1.96768	0.70274	1.87237	0.53957	1.14701	0.38449
Samw	Sam	Sam	M	rep1	5	0.31987	1.1987	0.29886	1.07592	0.23263	1.00969	0.3441	0.8546	0.3861	0.9063	0.49757	1.03392	0.62035	1.18901	0.7399	0.96607	0.71728	0.9063	1.042	0.75605	1.00484	0.60096	1.80613	1.10823	2.11631	0.72859	2.02907	0.53796	1.21001	0.31502
Samw	Sam	Sam	M	rep1	6	0.39903	1.1777	0.37802	1.06946	0.31502	1.021	0.40064	0.89499	0.44103	0.93376	0.53311	1.03069	0.63004	1.1357	0.74474	0.95476	0.73021	0.90791	1.00484	0.77221	0.95315	0.64781	1.6672	1.04684	1.95476	0.68982	1.87399	0.5315	1.13247	0.37641
Samw	Sam	Sam	M	rep1	7	0.37479	1.19386	0.35541	1.08239	0.28594	1.02907	0.3861	0.89176	0.42972	0.93376	0.52665	1.03715	0.63166	1.17609	0.74313	0.96768	0.72374	0.9176	1.02746	0.77059	0.95961	0.64781	1.73505	1.05815	2.00484	0.70274	1.91114	0.52988	1.15185	0.35218
Samw	Sam	Sam	M	rep1	8	0.4281	1.17285	0.41195	1.06623	0.34087	1.01615	0.4378	0.8756	0.48142	0.9176	0.57512	1.01777	0.67851	1.14539	0.78029	0.94184	0.7609	0.89822	1.042	0.75444	0.97253	0.63651	1.67689	1.05008	1.95476	0.70113	1.86752	0.5218	1.14378	0.35541
Samw	Sam	Sam	M	rep1	9	0.40064	1.18901	0.38126	1.07592	0.30533	1.02584	0.41357	0.88368	0.45234	0.9273	0.5525	1.03392	0.6672	1.17124	0.76736	0.95799	0.75282	0.90953	1.05654	0.75767	0.99353	0.6252	1.73021	1.06623	2.03069	0.70597	1.94345	0.52665	1.18255	0.33279
Samw	Sam	Sam	M	rep1	10	0.40872	1.15993	0.38933	1.05492	0.32471	1	0.4281	0.87237	0.46365	0.91437	0.55411	1.021	0.65428	1.14701	0.76413	0.95799	0.74959	0.91114	1.01292	0.78029	0.95638	0.66558	1.67366	1.07754	1.95638	0.72859	1.87722	0.57512	1.14378	0.38772
Samw	Sam	Sam	M	rep1	11	0.37802	1.16639	0.35864	1.05654	0.29402	0.99676	0.40549	0.87075	0.44426	0.90953	0.5315	1.01777	0.64781	1.15347	0.75444	0.95638	0.74151	0.9063	1.063	0.76575	0.99676	0.63004	1.74798	1.09854	2.05331	0.74313	1.96284	0.56058	1.18255	0.36187
Samw	Sam	Sam	M	rep1	12	0.39095	1.19386	0.36833	1.08239	0.30371	1.01453	0.40226	0.85783	0.44749	0.91276	0.54442	1.03392	0.65589	1.18416	0.77059	0.96122	0.74474	0.90468	1.04038	0.75444	0.98707	0.61066	1.73667	1.07592	2.01453	0.70436	1.93214	0.52988	1.18255	0.31179
Samw	Sam	Sam	M	rep1	13	0.4281	1.16962	0.41033	1.05815	0.34087	1	0.44426	0.86591	0.48465	0.90468	0.58158	1.01777	0.6882	1.15508	0.80936	0.95153	0.78998	0.89822	1.08885	0.7609	1.02423	0.63004	1.74474	1.06946	2.02584	0.7189	1.94668	0.54927	1.20193	0.36025
Samw	Sam	Sam	M	rep1	14	0.40387	1.21324	0.38287	1.09369	0.30694	1.01777	0.41841	0.8756	0.46203	0.91922	0.57512	1.04684	0.6882	1.19224	0.81098	0.96768	0.78352	0.90468	1.09208	0.75121	1.02746	0.60258	1.8336	1.07431	2.12762	0.68659	2.021	0.49596	1.20678	0.31179
Samw	Sam	Sam	M	rep1	15	0.41518	1.18255	0.40064	1.07269	0.32956	1.01938	0.44264	0.87399	0.48303	0.91922	0.57996	1.03231	0.6882	1.16316	0.8029	0.96445	0.78513	0.91599	1.11147	0.77059	1.03392	0.6462	1.77221	1.08077	2.08723	0.69628	1.99353	0.5315	1.21163	0.36995
Samw	Sam	Sam	M	rep1	16	0.42649	1.18901	0.40549	1.08239	0.34571	1.021	0.44426	0.88368	0.48465	0.92891	0.58481	1.03554	0.69466	1.15993	0.79483	0.96607	0.7819	0.91922	1.06946	0.77705	1.02746	0.63812	1.75928	1.084	2.06785	0.74313	1.98869	0.56542	1.2084	0.35541
Samw	Sam	Sam	M	rep1	17	0.37964	1.21647	0.36187	1.08885	0.28271	1.01938	0.39418	0.8756	0.44264	0.92084	0.54442	1.04523	0.67528	1.19547	0.80452	0.96768	0.78029	0.90791	1.12924	0.75121	1.04684	0.59612	1.82552	1.11147	2.14216	0.72374	2.03554	0.52504	1.23747	0.3134
Samw	Sam	Sam	M	rep1	18	0.40872	1.2197	0.3861	1.105	0.31502	1.03715	0.42649	0.88852	0.47011	0.93376	0.56865	1.05654	0.69305	1.20032	0.8126	0.98061	0.78675	0.92245	1.1147	0.77059	1.04361	0.62843	1.81906	1.09854	2.11308	0.72859	2.021	0.54442	1.23909	0.34087
Samw	Sam	Sam	M	rep1	19	0.37156	1.20032	0.36025	1.07754	0.28756	1.0113	0.39741	0.86429	0.44588	0.90953	0.54927	1.03231	0.67366	1.18416	0.8126	0.95961	0.78352	0.89499	1.12277	0.74474	1.04038	0.59612	1.83683	1.09531	2.16478	0.70113	2.06623	0.50565	1.24071	0.29563
Samw	Sam	Sam	M	rep1	20	0.40549	1.21647	0.38772	1.10016	0.31502	1.03877	0.4168	0.89176	0.46203	0.93699	0.57027	1.05169	0.69143	1.18578	0.80936	0.9693	0.78513	0.91276	1.08562	0.75444	1.02907	0.60904	1.79159	1.07108	2.09693	0.68659	1.99838	0.50242	1.20516	0.3231
Samw	Sam	Sam	M	rep1	21	0.42164	1.19709	0.40549	1.08239	0.33117	1.02584	0.44588	0.88045	0.48142	0.9273	0.58158	1.042	0.6882	1.18416	0.79321	0.97415	0.77382	0.92407	1.07754	0.78352	1.01292	0.6462	1.77059	1.09854	2.05492	0.74798	1.96607	0.56542	1.21809	0.36187
Samw	Sam	Sam	M	rep1	22	0.45395	1.20355	0.43941	1.084	0.36348	1.02423	0.46688	0.89014	0.5105	0.93376	0.59935	1.04361	0.72536	1.18578	0.8239	0.97738	0.8029	0.92891	1.12277	0.77705	1.04846	0.6462	1.80129	1.105	2.09854	0.73828	2.00807	0.56704	1.24071	0.36187
Samw	Sam	Sam	M	rep1	23	0.42164	1.19063	0.40387	1.07269	0.33602	1.00484	0.45234	0.87237	0.49111	0.92084	0.60096	1.03392	0.71082	1.18255	0.8239	0.97738	0.80775	0.92891	1.13085	0.79483	1.07754	0.66074	1.85137	1.13085	2.15024	0.7609	2.05815	0.59289	1.29886	0.37479
Samw	Sam	Sam	M	rep2	1	0.4168	1.18255	0.40549	1.07269	0.33925	1.00484	0.44588	0.87722	0.48626	0.92083	0.58319	1.03554	0.68659	1.16962	0.8029	0.97738	0.78998	0.92568	1.09531	0.79967	1.03715	0.67528	1.74151	1.12762	2.06785	0.79159	1.98384	0.61066	1.23101	0.41033
Samw	Sam	Sam	M	rep2	2	0.39256	1.22455	0.36348	1.10177	0.28756	1.02584	0.40226	0.88206	0.44911	0.93053	0.56704	1.04846	0.69466	1.18416	0.80936	0.97253	0.78836	0.92407	1.10985	0.76575	1.03877	0.63327	1.84814	1.07269	2.14539	0.66235	2.04361	0.48465	1.24394	0.32633
Samw	Sam	Sam	M	rep2	3	0.43134	1.24878	0.39579	1.13408	0.31825	1.07431	0.42003	0.92568	0.46688	0.96607	0.58481	1.07269	0.72051	1.1987	0.81421	0.98222	0.78998	0.9273	1.09369	0.75282	1.00646	0.62681	1.84006	0.98707	2.08077	0.57188	1.95799	0.4168	1.17124	0.32633
Samw	Sam	Sam	M	rep2	4	0.42326	1.17124	0.41033	1.05815	0.33925	0.99353	0.44911	0.85945	0.48788	0.90306	0.58804	1.01776	0.70597	1.1567	0.81744	0.95638	0.8029	0.90468	1.09692	0.77059	1.04361	0.63974	1.78998	1.09046	2.09369	0.71728	2.00322	0.5525	1.24717	0.36187
Samw	Sam	Sam	M	rep2	5	0.4168	1.16639	0.40064	1.05169	0.33117	0.98222	0.44264	0.85298	0.48626	0.89337	0.58319	1.01615	0.69951	1.15508	0.81421	0.95638	0.79321	0.89983	1.11631	0.76898	1.06461	0.63166	1.76898	1.10662	2.10662	0.73667	2.01615	0.57027	1.26978	0.36025
Samw	Sam	Sam	M	rep2	6	0.42164	1.19547	0.39903	1.08562	0.32956	1.02261	0.42972	0.88529	0.47334	0.92891	0.59612	1.03069	0.69951	1.16639	0.79644	0.95961	0.77382	0.91276	1.08562	0.75928	1.02746	0.63004	1.77544	1.042	2.06138	0.6672	1.95961	0.49757	1.21486	0.34571
Samw	Sam	Sam	M	rep2	7	0.39903	1.20193	0.38125	1.08885	0.30694	1.02584	0.41518	0.88691	0.4588	0.93214	0.57027	1.04684	0.68174	1.18416	0.79644	0.97738	0.77382	0.91922	1.05169	0.7819	1.00161	0.64943	1.77059	1.07592	2.07431	0.69789	1.97576	0.5315	1.19062	0.36348
Samw	Sam	Sam	M	rep2	8	0.40226	1.20032	0.38933	1.08562	0.31179	1.02261	0.42326	0.87398	0.46688	0.92083	0.56704	1.03877	0.69305	1.1777	0.80936	0.96607	0.78836	0.91114	1.09046	0.76413	1.03554	0.63327	1.79806	1.07915	2.105	0.69951	2.00646	0.52988	1.22132	0.34733
Samw	Sam	Sam	M	rep2	9	0.4281	1.2294	0.40872	1.1147	0.33279	1.05331	0.43941	0.91922	0.4798	0.95961	0.58966	1.06461	0.7092	1.1987	0.80775	0.99192	0.78352	0.93699	1.08077	0.79321	1.01776	0.6672	1.77059	1.06461	2.05331	0.69143	1.94345	0.51534	1.19709	0.38933
Samw	Sam	Sam	M	rep2	10	0.41357	1.21324	0.39095	1.10016	0.31663	1.042	0.43134	0.90145	0.46688	0.94345	0.57673	1.04523	0.70113	1.17124	0.79644	0.97415	0.77867	0.92891	1.09531	0.77867	1.03392	0.65751	1.78513	1.05654	2.08238	0.67689	1.99515	0.52988	1.23424	0.37802
Samw	Sam	Sam	M	rep2	11	0.44749	1.17932	0.42487	1.07431	0.34571	1.021	0.45072	0.8966	0.48788	0.93376	0.5945	1.02746	0.70759	1.14701	0.8029	0.95961	0.78675	0.90953	1.05654	0.76413	1.00646	0.64458	1.71728	1.05815	2.0113	0.69628	1.92245	0.52827	1.17932	0.3651
Samw	Sam	Sam	M	rep2	12	0.38449	1.20032	0.3651	1.07915	0.29079	1.01453	0.40872	0.85945	0.45072	0.91114	0.56219	1.03554	0.68497	1.18255	0.80452	0.96284	0.79159	0.91114	1.12762	0.75928	1.06461	0.62843	1.84814	1.06623	2.14377	0.69305	2.05169	0.5315	1.27302	0.33441
Samw	Sam	Sam	M	rep2	13	0.38933	1.19547	0.37479	1.07431	0.30371	1.00323	0.4168	0.86429	0.4588	0.91114	0.56381	1.0323	0.67689	1.1777	0.79644	0.96122	0.77544	0.90791	1.09854	0.75928	1.02423	0.62358	1.79806	1.08239	2.10662	0.69466	2.00646	0.5218	1.21647	0.32794
Samw	Sam	Sam	M	rep2	14	0.40226	1.19547	0.38125	1.08239	0.30694	1.01453	0.4168	0.87883	0.46041	0.92407	0.53634	1.03715	0.68174	1.16478	0.79644	0.95799	0.77382	0.90629	1.08885	0.75605	1.00646	0.63327	1.75121	1.05654	2.03553	0.65428	1.93053	0.49272	1.18093	0.36187
Samw	Sam	Sam	M	rep2	15	0.39418	1.18416	0.38449	1.06946	0.31502	1.00161	0.42649	0.87075	0.46526	0.91599	0.56058	1.0323	0.68012	1.17285	0.79967	0.97253	0.78513	0.91599	1.08239	0.78836	1.02584	0.65751	1.7399	1.11308	2.06623	0.76736	1.98707	0.61066	1.20839	0.38772
Samw	Sam	Sam	M	rep2	16	0.41033	1.21324	0.40064	1.09369	0.31825	1.0323	0.41841	0.89176	0.46203	0.93376	0.57027	1.04523	0.68982	1.18093	0.78998	0.9693	0.76575	0.91437	1.084	0.75605	1.00969	0.6252	1.77382	1.05169	2.06946	0.66235	1.96607	0.49111	1.19709	0.33602
